PlantSpecies,FungalGenus,PlantFamily,PLANTLIFEHISTORY,FUNGROUP,LOCATION,DOMESTICATED,Plant_Lat,Plant_Long,Fung_Lat,Fung_Long,Soil_Lat,Soil_Long
glycine_max,rhizophagus,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
glycine_max,rhizophagus,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
glycine_max,rhizophagus,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
callistephus_chinensis,acaulospora,asteraceae,annual_biennial,nonNforb,field,DOMESTICATED,NA,NA,-45.859835,170.38689,15.489085,74.984262
callistephus_chinensis,gigaspora,asteraceae,annual_biennial,nonNforb,field,DOMESTICATED,NA,NA,-45.859835,170.38689,15.489085,74.984262
callistephus_chinensis,sclerocystis,asteraceae,annual_biennial,nonNforb,field,DOMESTICATED,NA,NA,-45.859835,170.38689,15.489085,74.984262
callistephus_chinensis,acaulospora,asteraceae,annual_biennial,nonNforb,field,DOMESTICATED,NA,NA,-45.859835,170.38689,15.489085,74.984262
callistephus_chinensis,gigaspora,asteraceae,annual_biennial,nonNforb,field,DOMESTICATED,NA,NA,-45.859835,170.38689,15.489085,74.984262
callistephus_chinensis,sclerocystis,asteraceae,annual_biennial,nonNforb,field,DOMESTICATED,NA,NA,-45.859835,170.38689,15.489085,74.984262
sesamum_indicum,rhizophagus,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,rhizophagus,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,funneliformis,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,funneliformis,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,funneliformis,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,rhizophagus,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,rhizophagus,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,funneliformis,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
sesamum_indicum,rhizophagus,pedaliaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
capsicum_annuum,rhizophagus,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
capsicum_annuum,gigaspora,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
capsicum_annuum,rhizophagus,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
capsicum_annuum,gigaspora,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
ananas_comosus,NA,bromeliaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
